25069168;VB u RB Leinebgld Delligsen
25069262;Raiff-VB Neustadt
25069270;Volksbank Aller-Oker
25069370;VB Vechelde-Wendeburg
25069384;Volksbank Lehre -alt-
25069503;VB Diepholz-Barnstorf
25069830;Volksbank Derental -alt-
25070024;Deutsche Bank PGK Hannover
25070066;Deutsche Bank Stadthagen
25070070;Deutsche Bank Hannover
25070077;Deutsche Bank Nienburg
25070084;Deutsche Bank Soltau
25070086;Deutsche Bank Holzminden
25080020;Dresdner Bank Hannover
25080085;Dresdner Bank ITGK2 Hannov
25089220;Dresdner Bank ITGK Hannover
25090300;Bk f Schiffahrt Hannover
25090500;Sparda-Bank Hannover
25090608;apoBank Hannover
25090900;PSD Bank Hannover
25120510;Sozialbank Hannover
25120960;HypoverBk-Hypo-Hannover
25151270;St Spk Barsinghausen
25151371;Stadtsparkasse Burgdorf
25152375;Kr Spk Fallingbostel
25152490;St Spk Wunstorf
25161322;VB Burgdorf-Celle -alt-
25162563;Volksbank Garbsen -alt-
25190001;Hannoversche Volksbank
25190101;Lindener Volksbank -alt-
25191510;Volksbank Lehrte -alt-
25193331;Volksbank
25250001;Kr Spk Peine
25260010;Volksbank Peine
25400000;BBk Hannover eh Hameln
25410111;SEB Hameln
25410200;BHW Bauspk Hameln
25410300;BHW Allgem Bauspk -alt-
25420800;BHW BK -alt- (PostBk)
25430000;HypoVereinsbk ex VereinWest
25440047;Commerzbank Hameln
25450001;St Spk Hameln
25450110;Spk Weserbergland Hameln
25451345;St Spk Bad Pyrmont
25451450;Spk Weserbergland Bodenwerd
25451655;Spk Weserbergland Hess Old
25462160;VB Hameln-Stadthagen
25462680;VB am Ith Coppenbruegge
25470024;Deutsche Bank PGK Hameln
25470073;Deutsche Bank Hameln
25470078;Deutsche Bank Bad Pyrmont
25471024;Deutsche Bank PGK Rinteln
25471073;Deutsche Bank Rinteln
25480021;Dresdner Bank Hameln
25491071;Volksbank Bueckeburg-Rinteln
25491273;Volksbank Aerzen
25491744;Volksbank Bad Muender
25541426;Commerzbank Bueckeburg
25551480;Sparkasse Schaumburg
25562308;VB Nordschaumburg -alt-
25562604;VB Kirchhorsten -alt-
25591413;Volksbank in Schaumburg
25591748;VB Obernkirchen -alt-
25621327;Oldb Landesbank Diepholz
25641302;Commerzbank Diepholz
25650106;Sparkasse Nienburg
25651325;Kr Spk Diepholz
25662540;Volksbank Steyerberg
25663584;VB Grafschaft Hoya
25690009;Volksbank Nienburg
25691633;Volksbank Sulingen
25700000;BBk Hannover eh Celle
25730000;HypoVereinsbk ex VereinWest
25740061;Commerzbank Celle
25750001;Sparkasse Celle
25761894;Volksbank Wittingen-Kloetze
25770024;Deutsche Bank PGK Celle
25770069;Deutsche Bank Celle
25780022;Dresdner Bank Celle
25791516;Volksbank Hankensbuettel
25791635;Volksbank Suedheide
25800000;BBk Hannover eh Uelzen
25840048;Commerzbank Uelzen
25841403;Commerzbank Luechow
25841708;Commerzbank Schneverdingen
25850110;Sparkasse Uelzen Luechow-Dbg
25851335;Spk Uelzen Luechow-Dannenber
25851660;Kr Spk Soltau
25861395;Volksbank Dannenberg -alt-
25861990;Volksbank Clenze-Hitzacker
25862292;Volksbank Uelzen-Salzwedel
25862393;Volksbank Hitzacker -alt-
25863489;VB Osterbg-Luechow-Dannenbg
25891483;VB Osterbg-Luechow-Dannenbg
25891636;VB Lueneburger Heide
25900000;BBk Hannover eh Hildesheim
25910111;SEB Hildesheim
25930000;HypoVereinsbk ex VereinWest
25940033;Commerzbank Hildesheim
25950001;St Spk Hildesheim -alt-
25950130;Sparkasse Hildesheim
25960192;Bankhaus Hallbaum
25962470;Volksbank Hildesheim -alt-
25970024;Deutsche Bank PGK Hildeshei
25970074;Deutsche Bank Hildesheim
25971024;Deutsche Bank PGK Alfeld
25971071;Deutsche Bank Alfeld Leine
25980027;Dresdner Bank Hildesheim
25990011;Volksbank Hildesheim
25991528;VB Hildesheimer Boerde
25991911;Volksbank Sarstedt -alt-
26000000;BBk Goettingen
26010111;SEB Goettingen
26030000;HypoVereinsbk ex VereinWest
26040030;Commerzbank Goettingen
26050001;Sparkasse Goettingen
26051260;Sparkasse Duderstadt
26051450;Kr u St Spk Muenden
26060184;Bankhaus Hallbaum
26061291;VB Eichsfeld-Northeim
26061556;Volksbank Adelebsen
26062433;Volksbank Dransfeld
26062575;Raiffeisenbank Rosdorf
26070024;Deutsche Bank PGK Goettingen
26070072;Deutsche Bank Goettingen
26080024;Dresdner Bank Goettingen
26090050;Volksbank Goettingen
26240039;Commerzbank Northeim Han
26250001;Kr Spk Northeim
26251425;Sparkasse Einbeck
26261396;Volksbank Dassel
26261492;Volksbank Einbeck
26261693;Volksbank Solling Hardegsen
26271424;Deutsche Bank PGK Einbeck
26271471;Deutsche Bank Einbeck
26280020;Dresdner Bank Northeim Han
26281420;Dresdner Bank Einbeck
26340056;Commerzbank Osterode Harz
26341072;Commerzbank Herzberg Harz
26350001;St Spk Osterode
26351015;Sparkasse Osterode am Harz
26351445;St Spk Bad Sachsa
26361299;VB Oberharz Bad Grund
26500000;BBk Osnabrueck
26510111;SEB Osnabrueck
26520017;Oldb Landesbank Osnabrueck
26521703;Oldb Landesbank Bramsche
26522319;Oldb Landesbank Quakenbrueck
26540070;Commerzbank Osnabrueck
26550105;Sparkasse Osnabrueck
26551540;Kr Spk Bersenbrueck
26552286;Kreissparkasse Melle
26560189;Bankhaus Hallbaum
26560625;apoBank Osnabrueck
26562490;VB Laer-Borgl-Hilter-Melle
26562694;Volksbank Wittlage Bohmte
26563942;Raiffbk Voltlage-Neuenk alt
26563960;VB Bramgau im Osnabr Land
26565928;VB GMHuette-Hagen-Bissendorf
26566939;VB Osnabruecker Nd
26567943;VR-Bank i.Altkr.Bersenbrueck
26568924;VB Hilter-Bad Laer -alt-
26570024;Deutsche Bank PGK Osnabrueck
26570090;Deutsche Bank Osnabrueck
26580070;Dresdner Bank Osnabrueck
26589210;Dresdner Bk ITGK Osnabrueck
26590025;Volksbank Osnabrueck
26600000;BBk Osnabrueck eh Lingen
26620010;Oldb Landesbank Lingen
26621413;Oldb Landesbank Meppen
26640049;Commerzbank Lingen Ems
26650001;Spk Emsland
26660060;Volksbank Lingen Ems
26661380;Volksbank Haseluenne
26661494;Emslaendische VB Meppen
26661912;Volksbank Sued-Emsland
26662932;Volksbank Lengerich
26691213;Volksbank Haren
26720028;Oldb Landesbank Nordhorn
26740044;Commerzbank Nordhorn
26750001;Kr Spk Nordhorn
26760005;Raiff- u VB Nordhorn -alt-
26770024;Deutsche Bank PGK Nordhorn
26770095;Deutsche Bank Nordhorn
26800000;BBk Magdeburg eh Halberst
26840032;Commerzbank Goslar
26850001;Sparkasse Goslar/Harz
26851410;Kr Spk Clausthal-Zellerfeld
26851620;Sparkasse Salzgitter
26870024;Deutsche Bank PGK Goslar
26870032;Deutsche Bank Goslar
26880063;Dresdner Bank Goslar
26890019;Volksbank Nordharz
26891484;Volksbank im Harz
26941053;Commerzbank Wolfsburg
26951311;Spk Gifhorn-Wolfsburg
26971024;Deutsche Bank PGK Wolfsburg
26971038;Deutsche Bank Wolfsburg
26981062;Dresdner Bank Wolfsburg
26989221;Dresdner Bk ITGK Wolfsburg
26991066;Volksbank Brawo
27000000;BBk Hannover eh Braunschwei
27010111;SEB Braunschweig
27010200;VON ESSEN Bankges Braunschw
27020000;Volkswagen Bank Braunschwg
27020001;Audi Bank Braunschweig
27020003;Skoda Bank
27020004;AutoEuropa Bank
27020800;Seat Bank Braunschweig
27030000;HypoVereinsbk ex VereinWest
27032500;Seeligerbank Wolfenbuettel
27040080;Commerzbank Braunschweig
27062290;Volksbank Boerssum-Hornburg
27063279;VB Vechelde-Wendeburg
27070024;Deutsche Bank PGK Braunschw
27070030;Deutsche Bank Braunschweig
27070031;Deutsche Bank Gifhorn
27070034;Deutsche Bank Osterode Harz
27070041;Deutsche Bank Bad Sachsa
27070042;Deutsche Bank Bad Harzburg
27070043;Deutsche Bank Helmstedt
27070079;Deutsche Bank Peine
27072524;Deutsche Bank PGK Wolfenbuet
27072537;Deutsche Bank Wolfenbuettel
27072724;Deutsche Bank PGK Salzgitte
27072736;Deutsche Bank Salzgitter
27080060;Dresdner Bank Braunschweig
27089221;Dresdner Bk ITGK Braunschwg
27090077;Volksbank Braunschweig -alt
27090618;apoBank Braunschweig
27090900;PSD Bank Braunschweig
27092555;VB Wolfenbuettel-Salzgitter
27131300;Rautenschlein Schoeningen
27190082;Volksbank Helmstedt
27240004;Commerzbank Holzminden
27290087;VB Weserbergland Holzminden
27893215;Vereinigte Volksbank
27893359;Volksbank Braunlage
27893760;Volksbank Seesen
28000000;BBk Oldenburg (Oldb)
28010111;SEB Oldenburg
28020050;Oldb Landesbank Oldenburg
28021002;Oldb Landesbank Brake
28021301;Oldb Ldbank Bad Zwischenahn
28021504;Oldb Landesbank Cloppenburg
28021623;Oldb Landesbank Damme
28021705;Oldb Landesbank Delmenhorst
28021906;Oldb Landesbank Elsfleth
28022015;Oldb Landesbank Nordenham
28022412;Oldb Landesbank Loeningen
28022511;Oldb Landesbank Lohne
28022620;Oldb Landesbank Rastede
28022822;Oldb Landesbank Vechta
28023224;Oldb Landesbank Westerstede
28023325;Oldb Ldbank Wildeshausen
28030300;Bankhaus Fortmann Oldenburg
28040046;Commerzbank Oldenburg
28042865;Commerzbank Vechta
28050100;Landessparkasse Oldenburg
28060228;Raiffbk Oldenburg
28061410;Raiffbk Wesermarsch-Sued
28061501;Volksbank Cloppenburg
28061679;Volksbank Dammer Berge
28061822;Volksbank Oldenburg
28062165;Raiffeisenbank Rastede
28062249;Volksbank Ganderkesee-Hude
28062560;Volksbank Lohne-Muehlen
28062740;VB Bookholzberg-Lemwerder
28062913;Volksbank Boesel
28063253;Volksbank Westerstede
28063526;VB Essen-Cappeln
28063607;Volksbank Bakum
28064090;Volksbank Steinfeld
28064179;Volksbank Vechta
28064241;Raiff-VB Varel-Nordenham
28065061;Volksbank Loeningen
28065108;VR-Bank Dinklage-Steinfeld
28065286;Raiffeisenbank Scharrel
28066103;Volksbank Visbek
28066214;VB Wildeshauser Geest
28066620;Spar-u Darlehnskasse
28067068;VB Neuenkirchen-Voerden
28067170;Raiff-VB Delmenhorst
28067257;Volksbank Lastrup
28068064;Volksbank Cappeln -alt-
28068156;Volksbank Vechta
28068218;Raiffbk Butjadingen-Abbehsn
28069052;Raiffbk Strueckl.-Idafehn
28069092;VR Bank Oldenburg Land West
28069105;Raiffeisen-Volksbank Jever
28069109;Volksbank Emstek
28069128;Raiffeisenbank Garrel
28069138;VR Bank Oldenburg Land West
28069293;VB Obergrafschaft -alt-
28069381;Huemmlinger Volksbank
28069706;Volksbank Nordhuemmling
28069755;Raiffeisenbank Oldersum
28069773;Raiffbk Wiesederm-Wiesede-M
28069878;Raiffbk Emsland-Mitte
28069926;VB Niedergrafschaft
28069930;VB Langen-Gersten
28069935;Raiffeisenbank Lorup
